Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Honduras,2011,12.2,11.3,21.0,1.8,560704,46308,514397,2053.95973112624,4.47,0.84131,180.58157349
India,2011,8.6000004,12.6,21.799999,2.8,107702210,11823775,95878431,1449.60330101065,8.168,0.75525,48.32049179
Indonesia,2011,10.9,29.9,56.700001,3.3,51336886,2865893,48470994,3613.80088834845,5.15,0.93948,108.03186035
Jordan,2011,13.1,25.700001,42.599998,8.1999998,1133394,175960,957434,4152.49398098582,12.9,1.0,338.34609985
Latvia,2011,16.5,29.299999,44.700001,16.6,565843,174434,391409,13338.9622350852,16.21,0.99847,764.59173584
Lithuania,2011,13.5,25.799999,40.400002,13.6,720261,206636,513624,14376.9478643932,15.39,0.99764,925.47161865
Mali,2011,8.6999998,10.3,17.700001,3.0,786396,113256,673140,810.182556519339,1.352,0.39684,32.52763748
Malta,2011,40.599998,21.9,26.799999,17.1,79181,31015,48166,23155.1148403386,6.38,1.0017,1960.06115723
Mauritius,2011,24.799999,18.1,33.799999,2.8,177126,14107,163019,9197.04299089459,7.45,0.9312,385.77191162
Mexico,2011,12.6,9.6999998,15.2,4.8000002,8167695,2124837,6042858,10341.5002378026,5.17,0.88716,570.73046875
Montenegro,2011,23.700001,26.6,34.400002,19.1,133302,49114,84188,7328.79046472761,19.76,0.98494,572.46990967
Namibia,2011,5.9000001,14.5,21.5,8.1999998,201965,59806,142160,5873.05938103204,19.46,0.85613,569.14294434
Nepal,2011,5.6999998,23.9,34.400002,14.5,4126481,1327321,2799161,791.225576713285,10.503,0.69396,34.39584351
Pakistan,2011,16.0,15.5,25.9,4.5999999,17778322,2590446,15187875,1075.45102015496,0.8,0.5988,25.67299627
Portugal,2011,15.0,21.700001,30.4,13.7,1960307,644121,1316187,23217.2954965209,12.68,0.95105,2255.96923828
Romania,2011,19.6,26.5,36.099998,17.5,4904420,1676205,3228214,9560.15838000631,7.18,0.98449,426.59973145
