Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Chile,CHL,2011,14628.5724573037,7.32,0.93613,994.66607666
Colombia,COL,2011,7392.9435995632,10.11,0.89641,501.26507568
Costa Rica,CRI,2011,9137.45510202159,9.52,0.97016,742.14190674
Croatia,HRV,2011,14623.9905306334,13.68,0.99139,1132.49890137
Cyprus,CYP,2011,32485.802734375,7.86,0.99097,2114.66894531
Dominican Republic,DOM,2011,5859.38154480292,6.09,0.89118,295.19439697
Ecuador,ECU,2011,5202.65645902066,3.46,0.85323,336.99700928
El Salvador,SLV,2011,3304.97418347889,4.3,0.83266,293.3677063
Estonia,EST,2011,17487.8047830923,12.33,0.99957,1015.96826172
Greece,GRC,2011,25483.8825644933,17.86,0.96659,2338.91503906
Honduras,HND,2011,2053.95973112624,4.47,0.84131,180.58157349
India,IND,2011,1449.60330101065,8.168,0.75525,48.32049179
Indonesia,IDN,2011,3613.80088834845,5.15,0.93948,108.03186035
Jordan,JOR,2011,4152.49398098582,12.9,1.0,338.34609985
Latvia,LVA,2011,13338.9622350852,16.21,0.99847,764.59173584
Lithuania,LTU,2011,14376.9478643932,15.39,0.99764,925.47161865
Mali,MLI,2011,810.182556519339,1.352,0.39684,32.52763748
Malta,MLT,2011,23155.1148403386,6.38,1.0017,1960.06115723
Mauritius,MUS,2011,9197.04299089459,7.45,0.9312,385.77191162
Mexico,MEX,2011,10341.5002378026,5.17,0.88716,570.73046875
Montenegro,MNE,2011,7328.79046472761,19.76,0.98494,572.46990967
Namibia,NAM,2011,5873.05938103204,19.46,0.85613,569.14294434
Nepal,NPL,2011,791.225576713285,10.503,0.69396,34.39584351
Pakistan,PAK,2011,1075.45102015496,0.8,0.5988,25.67299627
Portugal,PRT,2011,23217.2954965209,12.68,0.95105,2255.96923828
Romania,ROU,2011,9560.15838000631,7.18,0.98449,426.59973145
Samoa,WSM,2011,3789.62647754408,5.68,0.99433,210.11923218
Senegal,SEN,2011,1383.53911732143,10.36,0.58774,58.30465698
Serbia,SRB,2011,6809.15980400146,22.97,0.97571,618.89422607
South Africa,ZAF,2011,8737.04111019993,21.42,0.90225,694.10058594
Spain,ESP,2011,31677.9003083654,21.39,0.99271,2908.92016602
Togo,TGO,2011,779.763519741879,1.98,0.60975,35.2552681
Tonga,TON,2011,3852.14378759566,1.453,0.99956,155.88771057
Tunisia,TUN,2011,4361.94808936698,18.33,0.77751,267.08099365
Uruguay,URY,2011,14975.5625602187,6.31,0.98121,1232.04626465
"Venezuela, RB",VEN,2011,10877.1123638816,6.9,0.87485,780.71722412
Albania,ALB,2012,4247.63135624709,13.38,0.97876,259.52676392
Azerbaijan,AZE,2012,7495.86194235033,5.19,1.00044,217.79299927
Bangladesh,BGD,2012,876.818006772634,4.099,0.72073,23.89686203
Bhutan,BTN,2012,2470.0721358991,2.05,0.62935,83.64318848
Bolivia,BOL,2012,2562.46678423329,2.07,0.90555,134.63066101
Brazil,BRA,2012,12327.5155558345,7.25,0.84449,953.703125
Cabo Verde,CPV,2012,3583.46171744213,11.127,0.88516,167.49281311
"Congo, Dem. Rep.",COD,2012,412.776260686934,4.49,0.73459,13.62572193
Cuba,CUB,2012,6467.33791422804,3.46,0.99708,601.42425537
Dominican Republic,DOM,2012,6049.47161121834,6.72,0.8996,305.4364624
Ecuador,ECU,2012,5678.45572070003,3.23,0.86831,383.99121094
"Egypt, Arab Rep.",EGY,2012,3059.13542779204,12.597,0.79428,142.75941467
Guatemala,GTM,2012,3355.03459892096,2.76,0.82446,200.33554077
Honduras,HND,2012,2107.34548058009,3.75,0.8612,182.42372131
"Iran, Islamic Rep.",IRN,2012,8329.00206687522,12.27,0.82126,513.45489502
Jordan,JOR,2012,4386.4618185538,12.2,1.0,342.94042969
Kuwait,KWT,2012,51271.148649557,2.318,0.98018,1196.20715332
Madagascar,MDG,2012,504.173737790664,0.6,0.70937,19.27203178
Mexico,MEX,2012,10376.0904951074,4.89,0.90223,587.82843018
Moldova,MDA,2012,3044.80847876248,5.58,0.9914,223.61895752
Morocco,MAR,2012,3164.00463867188,8.99,0.69915,172.05938721
Niger,NER,2012,525.047284446867,2.18,0.3992,22.56604767
Pakistan,PAK,2012,1109.67873521456,1.864,0.63162,26.28877595
Paraguay,PRY,2012,5621.24402638513,4.09,0.92508,367.14849854
Peru,PER,2012,6475.71941703429,3.24,0.86897,307.31854248
Rwanda,RWA,2012,706.139033962179,11.858,0.79115,57.216465
Sao Tome and Principe,STP,2012,1319.90083269011,13.59,0.95858,86.12266541
South Africa,ZAF,2012,8173.8691381716,21.79,0.90283,654.25469971
Spain,ESP,2012,28322.9465923276,24.79,0.9939,2590.2253418
