Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Papua New Guinea,1980,15.5,38.5,54.900002,21.200001,677571,181535,496036,819.9622943,,,
Paraguay,1980,26.9,16.4,25.4,7.4000001,301571,67687,233884,1444.694522,,,
Peru,1980,10.8,9.8999996,14.1,5.8000002,1001165,292405,708760,1036.840703,,,
Philippines,1980,18.5,27.5,46.400002,8.3999996,7414352,1134392,6279960,761.0166206,,0.82538,
Poland,1980,20.700001,42.299999,57.200001,28.700001,11410832,4022463,7388369,,,,
Portugal,1980,23.5,21.299999,36,8.3000002,1548910,317141,1231768,3368.366669,,,
Qatar,1980,17.9,14.3,20.1,1.4,21252,647,20605,28218.29511,,,
Romania,1980,19,26.799999,35.799999,18.200001,4340999,1516667,2824332,,,,
Russia,1980,21.9,35,58.700001,15.7,37945946,9409839,28536109,,,,
Rwanda,1980,21.700001,14,21.1,7.1999998,373596,98558,275038,239.1153867,,,
Saint Lucia,1980,23.799999,8.6000004,13.4,4.4000001,5708,1519,4189,,,,
Saint Vincent and the Grenadines,1980,135.89999,9,16.6,2.4000001,5118,724,4394,,,,
Samoa,1980,25.799999,27.200001,39.5,15,22767,6301,16466,,,,
Sao Tome and Principe,1980,14.1,3.7,6.4000001,1.1,1839,297,1542,,,,
Saudi Arabia,1980,74,7.3000002,12.4,0.69999999,399714,17529,382185,16176.19825,,,
Senegal,1980,21,10.9,20.5,1.5,324324,21989,302334,790.710355,,,
Serbia,1980,14.5,22.799999,25.799999,20,1560137,698012,862124,,,,
Seychelles,1980,20.9,17.799999,31.1,4.4000001,7191,884,6307,2478.364704,,,
Sierra Leone,1980,7.3000002,18.799999,32,6,336255,54731,281524,326.8584644,,,
Singapore,1980,28.700001,17.4,29.4,4.9000001,306001,42838,263163,4928.139118,,,
Slovakia,1980,25.9,24.4,34.400002,15,897431,284145,613286,,,,
Slovenia,1980,34.799999,30.299999,37.799999,23.6,426184,175134,251050,,,,
Solomon Islands,1980,5,29,41,16.1,35195,9436,25759,782.5292902,,,
Somalia,1980,21.799999,11.3,20.1,2.7,386051,47595,338457,102.4388511,,,
South Africa,1980,22.6,23.700001,38.400002,9.3000002,4025272,798640,3226631,3034.66139,,,
South Korea,1980,22.700001,34.099998,62.400002,6.6999998,8446893,841110,7605783,,,,
Spain,1980,21.5,34.200001,43.599998,25.5,9504425,3666698,5837727,6208.578019,,,
Sri Lanka,1980,12.7,13.4,24.700001,1.5,1286960,70460,1216500,269.3199617,,,
Sudan,1980,16.9,5.6999998,9.8999996,1.6,586957,82393,504564,429.0219727,,,
Suriname,1980,129.3,6.0999999,9.8999996,2.2,13337,2430,10908,2119.367016,,,
Swaziland,1980,20.9,6.0999999,10.8,2.2,18771,3775,14996,,,,
Sweden,1980,16.1,27.700001,29.9,25.6,1852265,869568,982697,17097.93372,,,
Switzerland,1980,28.9,27.700001,33.900002,21.9,1402529,577903,824625,19393.78411,,,
Syria,1980,35.299999,18.4,29.799999,6.5999999,844639,149290,695349,,,,
Taiwan,1980,30.299999,21.6,37.900002,3.5,2592502,199321,2393181,,,,
Tajikistan,1980,31,18,33.5,3.2,401553,37070,364483,,,,
Tanzania,1980,10.3,11.6,21.9,1.9,1162570,97940,1064630,,,,
Thailand,1980,17.4,25.1,46.5,4.0999999,7217641,589998,6627643,707.3700036,,,
Timor,1980,1.4,31.200001,58.200001,3.9000001,108929,6778,102151,,,,
Togo,1980,37.200001,7.0999999,13,1.5,103864,11286,92578,544.126482,,,
Tonga,1980,17,32.099998,50.599998,13.4,17422,3585,13837,550.7308333,,,
Trinidad and Tobago,1980,31.299999,21.4,34.200001,8.8999996,153215,32519,120696,5528.946472,,,
Tunisia,1980,21.1,20.6,39.400002,1.7,753532,31805,721727,1329.268317,,,
Turkey,1980,22.9,28,42.599998,13.9,7361652,1866962,5494690,,,,
Turkmenistan,1980,26.200001,20.4,38.400002,3.5999999,342522,31055,311468,,,,
Uganda,1980,2.3,12.3,21.6,3.2,809573,107143,702430,93.69222855,,,
Ukraine,1980,18.299999,31.6,55.200001,12.9,12415648,2822217,9593431,,,,
United Arab Emirates,1980,12.2,19.6,25.299999,0.69999999,143031,1164,141868,42995.164,,,
United Kingdom,1980,17.200001,36.900002,38.299999,35.700001,16434009,8270088,8163921,10032.17868,,,
United States,1980,31.9,29.700001,32.599998,27.1,52232402,24848309,27384093,12574.79151,,,
Uruguay,1980,15.5,29.9,38.299999,22.1,637445,243151,394293,3440.717771,,,
Uzbekistan,1980,15.3,9.8999996,19.299999,1.1,933202,55916,877286,,,,
Vanuatu,1980,7.3000002,22.5,38.599998,4.3000002,14417,1296,13121,1025.639812,,,
Venezuela,1980,33.5,25.700001,36,15.3,2302070,680108,1621961,,,,
Vietnam,1980,5.6999998,26.799999,52,3.5999999,8678587,611881,8066707,,,,
World,1980,18.799999,25.1,40,10.3,720677620,148959868,571717681,2552.058489,,,
Yemen,1980,29.5,20.200001,31.5,10,813279,213400,599880,,,,
Zambia,1980,12.2,12.4,21.799999,3.3,381862,51970,329892,679.0617875,,,
Zimbabwe,1980,29,13.2,23.700001,3,491356,56562,434794,947.3671355,,,
Afghanistan,1981,5.8000002,10.5,18.4,2.3,720102,79276,640826,311.853617,,,
Albania,1981,18.4,21.299999,38.400002,3.3,371658,28413,343245,,,,
Algeria,1981,18.9,15.7,30.6,0.80000001,1696285,45828,1650458,2291.755924,,,
Andorra,1981,17.799999,30.6,36.799999,24.9,8671,3676,4994,10516.74887,,,
Angola,1981,22.9,8.6999998,16.799999,1.1,368686,24330,344356,643.0528514,,,
Antigua and Barbuda,1981,116.6,5.0999999,8,2.4000001,2398,584,1814,2271.831926,,,
Argentina,1981,19.200001,26.1,30.6,21.9,5176002,2229579,2946423,2763.375182,,,
Armenia,1981,22.1,26.200001,52.200001,2.5,576592,28215,548377,,,,
Australia,1981,24.4,30,33.700001,26.4,3364053,1495378,1868674,11853.43602,,,
Austria,1981,30.6,25.6,33,19.299999,1552093,626040,926053,9385.249064,,,
Azerbaijan,1981,20,20.299999,41.599998,0.89999998,840708,18900,821808,,,,
Bahamas,1981,37.900002,11,17.200001,5.0999999,15054,3549,11505,,,,
Bahrain,1981,18.9,17.5,24.299999,6.1999998,43047,5799,37248,9187.979647,,,
